timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1551258147268,1470,取消订单,200,OK,取消订单 2-3,text,false,Test failed: text expected to contain /删除成功/,522,304,65,65,1470,0,46
1551258147268,1492,取消订单,200,OK,取消订单 2-2,text,false,Test failed: text expected to contain /删除成功/,522,305,64,64,1492,0,42
1551258147268,1495,取消订单,200,OK,取消订单 2-11,text,false,Test failed: text expected to contain /删除成功/,522,305,63,63,1495,0,54
1551258147268,1495,取消订单,200,OK,取消订单 2-14,text,false,Test failed: text expected to contain /删除成功/,522,304,63,63,1495,0,45
1551258147268,1531,取消订单,200,OK,取消订单 2-4,text,false,Test failed: text expected to contain /删除成功/,522,304,61,61,1531,0,48
1551258147268,1531,取消订单,200,OK,取消订单 2-5,text,false,Test failed: text expected to contain /删除成功/,522,304,61,61,1531,0,46
1551258147268,1535,取消订单,200,OK,取消订单 2-8,text,false,Test failed: text expected to contain /删除成功/,522,304,59,59,1535,0,48
1551258147268,1536,取消订单,200,OK,取消订单 2-1,text,false,Test failed: text expected to contain /删除成功/,522,305,58,58,1536,0,46
1551258147268,1536,取消订单,200,OK,取消订单 2-10,text,false,Test failed: text expected to contain /删除成功/,522,305,58,58,1536,0,57
1551258147268,1536,取消订单,200,OK,取消订单 2-13,text,false,Test failed: text expected to contain /删除成功/,522,305,56,56,1536,0,48
1551258147269,1539,取消订单,200,OK,取消订单 2-52,text,true,,496,304,55,55,1539,0,45
1551258147269,1570,取消订单,200,OK,取消订单 2-43,text,true,,496,305,54,54,1570,0,40
1551258147270,1570,取消订单,200,OK,取消订单 2-58,text,true,,496,305,54,54,1570,0,40
1551258147270,1570,取消订单,200,OK,取消订单 2-64,text,true,,496,304,53,53,1570,0,43
1551258147270,1571,取消订单,200,OK,取消订单 2-56,text,true,,496,305,51,51,1571,0,42
1551258147268,1574,取消订单,200,OK,取消订单 2-18,text,true,,496,305,50,50,1574,0,45
1551258147270,1572,取消订单,200,OK,取消订单 2-62,text,true,,496,305,50,50,1572,0,41
1551258147269,1574,取消订单,200,OK,取消订单 2-45,text,true,,496,305,49,49,1574,0,40
1551258147268,1575,取消订单,200,OK,取消订单 2-35,text,true,,496,304,49,49,1575,0,43
1551258147268,1577,取消订单,200,OK,取消订单 2-21,text,true,,496,305,48,48,1577,0,44
1551258147268,1577,取消订单,200,OK,取消订单 2-9,text,false,Test failed: text expected to contain /删除成功/,522,305,48,48,1577,0,48
1551258147268,1577,取消订单,200,OK,取消订单 2-28,text,true,,496,304,48,48,1577,0,46
1551258147268,1577,取消订单,200,OK,取消订单 2-6,text,false,Test failed: text expected to contain /删除成功/,522,303,48,48,1577,0,48
1551258147268,1577,取消订单,200,OK,取消订单 2-39,text,true,,496,305,48,48,1577,0,42
1551258147268,1577,取消订单,200,OK,取消订单 2-15,text,false,Test failed: text expected to contain /删除成功/,522,305,48,48,1577,0,46
1551258147268,1577,取消订单,200,OK,取消订单 2-29,text,true,,496,305,48,48,1577,0,42
1551258147268,1577,取消订单,200,OK,取消订单 2-36,text,true,,496,305,48,48,1577,0,42
1551258147268,1578,取消订单,200,OK,取消订单 2-17,text,true,,496,304,48,48,1578,0,48
1551258147268,1578,取消订单,200,OK,取消订单 2-23,text,true,,496,305,48,48,1578,0,48
1551258147268,1578,取消订单,200,OK,取消订单 2-7,text,false,Test failed: text expected to contain /删除成功/,522,304,48,48,1578,0,57
1551258147270,1577,取消订单,200,OK,取消订单 2-61,text,true,,496,305,35,35,1577,0,46
1551258147269,1578,取消订单,200,OK,取消订单 2-54,text,true,,496,304,35,35,1578,0,45
1551258147268,1580,取消订单,200,OK,取消订单 2-30,text,true,,496,304,33,33,1580,0,44
1551258147268,1580,取消订单,200,OK,取消订单 2-12,text,false,Test failed: text expected to contain /删除成功/,522,305,33,33,1580,0,48
1551258147268,1580,取消订单,200,OK,取消订单 2-34,text,true,,496,305,33,33,1580,0,43
1551258147269,1579,取消订单,200,OK,取消订单 2-42,text,true,,496,304,30,30,1579,0,39
1551258147268,1582,取消订单,200,OK,取消订单 2-41,text,true,,496,305,29,29,1582,0,44
1551258147269,1581,取消订单,200,OK,取消订单 2-51,text,true,,496,304,29,29,1581,0,42
1551258147269,1581,取消订单,200,OK,取消订单 2-55,text,true,,496,304,29,29,1581,0,40
1551258147268,1583,取消订单,200,OK,取消订单 2-40,text,true,,496,305,26,26,1583,0,43
1551258147268,1583,取消订单,200,OK,取消订单 2-65,text,true,,496,305,26,26,1583,0,48
1551258147269,1583,取消订单,200,OK,取消订单 2-53,text,true,,496,304,24,24,1583,0,43
1551258147269,1583,取消订单,200,OK,取消订单 2-49,text,true,,496,305,24,24,1583,0,41
1551258147269,1584,取消订单,200,OK,取消订单 2-47,text,true,,496,305,22,22,1584,0,41
1551258147268,1585,取消订单,200,OK,取消订单 2-31,text,true,,496,304,22,22,1585,0,42
1551258147270,1586,取消订单,200,OK,取消订单 2-57,text,true,,496,304,20,20,1586,0,41
1551258147268,1588,取消订单,200,OK,取消订单 2-33,text,true,,496,304,20,20,1588,0,45
1551258147269,1593,取消订单,200,OK,取消订单 2-48,text,true,,496,305,18,18,1593,0,39
1551258147268,1594,取消订单,200,OK,取消订单 2-26,text,true,,496,304,18,18,1594,0,43
1551258147268,1594,取消订单,200,OK,取消订单 2-25,text,true,,496,305,16,16,1594,0,48
1551258147268,1595,取消订单,200,OK,取消订单 2-32,text,true,,496,305,15,15,1595,0,45
1551258147270,1593,取消订单,200,OK,取消订单 2-59,text,true,,496,305,14,14,1593,0,44
1551258147270,1594,取消订单,200,OK,取消订单 2-60,text,true,,496,304,13,13,1594,0,40
1551258147269,1596,取消订单,200,OK,取消订单 2-50,text,true,,496,305,12,12,1596,0,40
1551258147270,1595,取消订单,200,OK,取消订单 2-63,text,true,,496,304,12,12,1595,0,44
1551258147268,1597,取消订单,200,OK,取消订单 2-27,text,true,,496,305,12,12,1597,0,46
1551258147268,1598,取消订单,200,OK,取消订单 2-16,text,true,,496,305,9,9,1598,0,45
1551258147269,1598,取消订单,200,OK,取消订单 2-46,text,true,,496,304,8,8,1598,0,41
