timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1551250962425,6708,按楼盘提交订单,200,OK,按楼盘提交订单 2-46,text,true,,1026,529,100,100,6708,0,42
1551250962423,7973,按楼盘提交订单,200,OK,按楼盘提交订单 2-14,text,true,,797,529,99,99,7973,0,46
1551250962426,9112,按楼盘提交订单,200,OK,按楼盘提交订单 2-60,text,true,,797,529,98,98,9112,0,43
1551250962426,10304,按楼盘提交订单,200,OK,按楼盘提交订单 2-65,text,true,,809,529,97,97,10304,0,47
1551250962423,11458,按楼盘提交订单,200,OK,按楼盘提交订单 2-20,text,true,,760,529,96,96,11458,0,45
1551250962424,12597,按楼盘提交订单,200,OK,按楼盘提交订单 2-37,text,true,,759,529,95,95,12597,0,40
1551250962423,13782,按楼盘提交订单,200,OK,按楼盘提交订单 2-12,text,true,,760,529,94,94,13782,0,45
1551250962425,14985,按楼盘提交订单,200,OK,按楼盘提交订单 2-48,text,true,,761,529,93,93,14985,0,46
1551250962427,16133,按楼盘提交订单,200,OK,按楼盘提交订单 2-73,text,true,,941,529,92,92,16133,0,46
1551250962423,17310,按楼盘提交订单,200,OK,按楼盘提交订单 2-30,text,true,,833,529,91,91,17310,0,40
1551250962425,18549,按楼盘提交订单,200,OK,按楼盘提交订单 2-54,text,true,,761,529,90,90,18549,0,42
1551250962426,19680,按楼盘提交订单,200,OK,按楼盘提交订单 2-57,text,true,,858,529,89,89,19680,0,48
1551250962427,20804,按楼盘提交订单,200,OK,按楼盘提交订单 2-86,text,true,,858,529,88,88,20804,0,49
1551250962423,21877,按楼盘提交订单,200,OK,按楼盘提交订单 2-32,text,true,,882,529,87,87,21877,0,43
1551250962423,22989,按楼盘提交订单,200,OK,按楼盘提交订单 2-31,text,true,,857,529,86,86,22989,0,42
1551250962428,24418,按楼盘提交订单,200,OK,按楼盘提交订单 2-98,text,true,,761,529,85,85,24418,0,51
1551250962427,25561,按楼盘提交订单,200,OK,按楼盘提交订单 2-81,text,true,,760,529,84,84,25561,0,46
1551250962426,26731,按楼盘提交订单,200,OK,按楼盘提交订单 2-62,text,true,,761,529,83,83,26731,0,43
1551250962423,27873,按楼盘提交订单,200,OK,按楼盘提交订单 2-8,text,true,,749,529,82,82,27873,0,48
1551250962428,29024,按楼盘提交订单,200,OK,按楼盘提交订单 2-96,text,true,,1013,529,81,81,29024,0,48
1551250962424,30582,按楼盘提交订单,200,OK,按楼盘提交订单 2-38,text,true,,749,529,80,80,30582,0,43
1551250962426,31835,按楼盘提交订单,200,OK,按楼盘提交订单 2-67,text,true,,760,529,79,79,31835,0,48
1551250962425,32557,按楼盘提交订单,200,OK,按楼盘提交订单 2-44,text,true,,534,529,78,78,32557,0,43
1551250962424,32584,按楼盘提交订单,200,OK,按楼盘提交订单 2-43,text,true,,534,529,77,77,32584,0,40
1551250962426,32582,按楼盘提交订单,200,OK,按楼盘提交订单 2-64,text,true,,534,529,77,77,32582,0,50
1551250962424,32584,按楼盘提交订单,200,OK,按楼盘提交订单 2-41,text,true,,534,529,77,77,32584,0,40
1551250962424,32592,按楼盘提交订单,200,OK,按楼盘提交订单 2-40,text,true,,534,529,74,74,32592,0,40
1551250962423,32604,按楼盘提交订单,200,OK,按楼盘提交订单 2-2,text,true,,534,529,73,73,32604,0,44
1551250962423,32611,按楼盘提交订单,200,OK,按楼盘提交订单 2-22,text,true,,534,529,72,72,32611,0,44
1551250962423,32612,按楼盘提交订单,200,OK,按楼盘提交订单 2-28,text,true,,534,529,71,71,32612,0,42
1551250962423,32616,按楼盘提交订单,200,OK,按楼盘提交订单 2-13,text,true,,534,529,70,70,32616,0,46
1551250962423,32638,按楼盘提交订单,200,OK,按楼盘提交订单 2-23,text,true,,534,529,69,69,32638,0,43
1551250962423,32639,按楼盘提交订单,200,OK,按楼盘提交订单 2-27,text,true,,534,529,69,69,32639,0,42
1551250962428,32634,按楼盘提交订单,200,OK,按楼盘提交订单 2-94,text,true,,534,529,69,69,32634,0,51
1551250962426,32637,按楼盘提交订单,200,OK,按楼盘提交订单 2-63,text,true,,534,529,66,66,32637,0,43
1551250962424,32639,按楼盘提交订单,200,OK,按楼盘提交订单 2-39,text,true,,534,529,65,65,32639,0,40
1551250962424,32666,按楼盘提交订单,200,OK,按楼盘提交订单 2-34,text,true,,534,529,64,64,32666,0,40
1551250962424,32666,按楼盘提交订单,200,OK,按楼盘提交订单 2-45,text,true,,534,529,64,64,32666,0,40
1551250962425,32666,按楼盘提交订单,200,OK,按楼盘提交订单 2-49,text,true,,534,529,62,62,32666,0,43
1551250962423,32693,按楼盘提交订单,200,OK,按楼盘提交订单 2-100,text,true,,534,529,61,61,32692,0,45
1551250962428,32689,按楼盘提交订单,200,OK,按楼盘提交订单 2-95,text,true,,534,529,60,60,32689,0,49
1551250962424,32699,按楼盘提交订单,200,OK,按楼盘提交订单 2-36,text,true,,534,529,59,59,32699,0,40
1551250962427,32713,按楼盘提交订单,200,OK,按楼盘提交订单 2-87,text,true,,534,529,58,58,32713,0,48
1551250962425,32715,按楼盘提交订单,200,OK,按楼盘提交订单 2-50,text,true,,534,529,58,58,32715,0,42
1551250962423,32734,按楼盘提交订单,200,OK,按楼盘提交订单 2-10,text,true,,534,529,56,56,32734,0,46
1551250962423,32741,按楼盘提交订单,200,OK,按楼盘提交订单 2-15,text,true,,534,529,55,55,32741,0,41
1551250962428,32744,按楼盘提交订单,200,OK,按楼盘提交订单 2-91,text,true,,534,529,54,54,32744,0,47
1551250962428,32750,按楼盘提交订单,200,OK,按楼盘提交订单 2-93,text,true,,534,529,53,53,32750,0,46
1551250962423,32775,按楼盘提交订单,200,OK,按楼盘提交订单 2-19,text,true,,534,529,52,52,32775,0,50
1551250962427,32773,按楼盘提交订单,200,OK,按楼盘提交订单 2-85,text,true,,534,529,51,51,32773,0,47
1551250962426,32775,按楼盘提交订单,200,OK,按楼盘提交订单 2-69,text,true,,534,529,50,50,32775,0,47
1551250962427,32780,按楼盘提交订单,200,OK,按楼盘提交订单 2-75,text,true,,534,529,49,49,32780,0,50
1551250962427,32795,按楼盘提交订单,200,OK,按楼盘提交订单 2-84,text,true,,534,529,48,48,32795,0,46
1551250962428,32801,按楼盘提交订单,200,OK,按楼盘提交订单 2-99,text,true,,534,529,47,47,32801,0,52
1551250962427,32802,按楼盘提交订单,200,OK,按楼盘提交订单 2-82,text,true,,534,529,47,47,32802,0,53
1551250962427,32819,按楼盘提交订单,200,OK,按楼盘提交订单 2-71,text,true,,534,529,45,45,32819,0,42
1551250962427,32827,按楼盘提交订单,200,OK,按楼盘提交订单 2-83,text,true,,534,529,44,44,32827,0,47
1551250962423,32832,按楼盘提交订单,200,OK,按楼盘提交订单 2-3,text,true,,534,529,43,43,32832,0,46
1551250962425,32832,按楼盘提交订单,200,OK,按楼盘提交订单 2-51,text,true,,534,529,42,42,32832,0,47
1551250962426,32832,按楼盘提交订单,200,OK,按楼盘提交订单 2-68,text,true,,534,529,41,41,32832,0,48
1551250962426,32848,按楼盘提交订单,200,OK,按楼盘提交订单 2-58,text,true,,534,529,40,40,32848,0,45
1551250962423,32854,按楼盘提交订单,200,OK,按楼盘提交订单 2-26,text,true,,534,529,39,39,32854,0,44
1551250962423,32857,按楼盘提交订单,200,OK,按楼盘提交订单 2-29,text,true,,534,529,38,38,32857,0,45
1551250962423,32859,按楼盘提交订单,200,OK,按楼盘提交订单 2-21,text,true,,534,529,37,37,32859,0,44
1551250962426,32859,按楼盘提交订单,200,OK,按楼盘提交订单 2-66,text,true,,534,529,36,36,32859,0,48
1551250962426,32879,按楼盘提交订单,200,OK,按楼盘提交订单 2-55,text,true,,534,529,35,35,32879,0,47
1551250962427,32882,按楼盘提交订单,200,OK,按楼盘提交订单 2-70,text,true,,534,529,34,34,32882,0,47
1551250962423,32889,按楼盘提交订单,200,OK,按楼盘提交订单 2-18,text,true,,534,529,33,33,32889,0,46
1551250962423,32889,按楼盘提交订单,200,OK,按楼盘提交订单 2-16,text,true,,534,529,33,33,32889,0,44
