timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1551175856141,153,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,153,0,40
1551175856295,95,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,95,0,0
1551175856390,95,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,95,0,0
1551175856485,96,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,96,0,0
1551175856582,118,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,118,0,0
1551175856701,93,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,93,0,0
1551175856795,94,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,94,0,0
1551175856890,103,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,102,0,0
1551175856994,91,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,91,0,0
1551175857086,112,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,112,0,0
1551175857199,97,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,97,0,0
1551175857297,94,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,94,0,0
1551175857392,97,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,97,0,0
1551175857490,94,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,94,0,0
1551175857584,89,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,89,0,0
1551175857674,92,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,92,0,0
1551175857767,94,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,94,0,0
1551175857862,91,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,91,0,0
1551175857954,91,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,1,1,91,0,0
