timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1551175392457,161,楼盘询量,200,OK,楼盘询量 1-74,text,true,,1152,610,300,300,161,0,40
1551175392456,163,楼盘询量,200,OK,楼盘询量 1-1,text,true,,1152,610,299,299,163,0,42
1551175392458,173,楼盘询量,200,OK,楼盘询量 1-80,text,true,,1152,610,298,298,173,0,40
1551175392457,174,楼盘询量,200,OK,楼盘询量 1-71,text,true,,1152,610,298,298,174,0,40
1551175392457,175,楼盘询量,200,OK,楼盘询量 1-75,text,true,,1152,610,296,296,175,0,39
1551175392457,195,楼盘询量,200,OK,楼盘询量 1-47,text,true,,1152,610,295,295,195,0,44
1551175392458,251,楼盘询量,200,OK,楼盘询量 1-91,text,true,,1152,610,294,294,251,0,43
1551175392457,252,楼盘询量,200,OK,楼盘询量 1-64,text,true,,1152,610,293,293,252,0,41
1551175392457,253,楼盘询量,200,OK,楼盘询量 1-72,text,true,,1152,610,292,292,253,0,44
1551175392456,254,楼盘询量,200,OK,楼盘询量 1-5,text,true,,1152,610,291,291,254,0,75
1551175392457,254,楼盘询量,200,OK,楼盘询量 1-55,text,true,,1152,610,290,290,254,0,44
1551175392458,256,楼盘询量,200,OK,楼盘询量 1-98,text,true,,1152,610,289,289,256,0,46
1551175392457,257,楼盘询量,200,OK,楼盘询量 1-33,text,true,,1152,610,289,289,257,0,49
1551175392456,259,楼盘询量,200,OK,楼盘询量 1-300,text,true,,1152,610,287,287,259,0,75
1551175392459,257,楼盘询量,200,OK,楼盘询量 1-110,text,true,,1152,610,286,286,257,0,50
1551175392460,269,楼盘询量,200,OK,楼盘询量 1-149,text,true,,1152,610,285,285,269,0,59
1551175392457,277,楼盘询量,200,OK,楼盘询量 1-62,text,true,,1152,610,284,284,277,0,42
1551175392461,275,楼盘询量,200,OK,楼盘询量 1-171,text,true,,1152,610,283,283,275,0,60
1551175392461,276,楼盘询量,200,OK,楼盘询量 1-182,text,true,,1152,610,282,282,276,0,60
1551175392457,292,楼盘询量,200,OK,楼盘询量 1-76,text,true,,1152,610,281,281,292,0,42
1551175392457,295,楼盘询量,200,OK,楼盘询量 1-45,text,true,,1152,610,280,280,295,0,44
1551175392460,293,楼盘询量,200,OK,楼盘询量 1-147,text,true,,1152,610,279,279,293,0,61
1551175392457,299,楼盘询量,200,OK,楼盘询量 1-37,text,true,,1152,610,278,278,299,0,48
1551175392457,301,楼盘询量,200,OK,楼盘询量 1-27,text,true,,1152,610,277,277,301,0,52
1551175392460,298,楼盘询量,200,OK,楼盘询量 1-145,text,true,,1152,610,277,277,298,0,61
1551175392459,319,楼盘询量,200,OK,楼盘询量 1-122,text,true,,1152,610,275,275,319,0,50
1551175392461,322,楼盘询量,200,OK,楼盘询量 1-207,text,true,,1152,610,274,274,322,0,87
1551175392457,327,楼盘询量,200,OK,楼盘询量 1-28,text,true,,1152,610,273,273,327,0,50
1551175392460,324,楼盘询量,200,OK,楼盘询量 1-168,text,true,,1152,610,272,272,324,0,73
1551175392460,325,楼盘询量,200,OK,楼盘询量 1-134,text,true,,1152,610,271,271,325,0,50
1551175392460,351,楼盘询量,200,OK,楼盘询量 1-152,text,true,,1152,610,270,270,351,0,71
1551175392461,350,楼盘询量,200,OK,楼盘询量 1-188,text,true,,1152,610,270,270,350,0,73
1551175392456,356,楼盘询量,200,OK,楼盘询量 1-13,text,true,,1152,610,268,268,356,0,54
1551175392460,352,楼盘询量,200,OK,楼盘询量 1-155,text,true,,1152,610,267,267,352,0,61
1551175392459,353,楼盘询量,200,OK,楼盘询量 1-107,text,true,,1152,610,266,266,353,0,50
1551175392459,372,楼盘询量,200,OK,楼盘询量 1-115,text,true,,1152,610,265,265,372,0,50
1551175392462,370,楼盘询量,200,OK,楼盘询量 1-261,text,true,,1152,610,264,264,370,0,76
1551175392458,376,楼盘询量,200,OK,楼盘询量 1-86,text,true,,1152,610,263,263,376,0,42
1551175392457,381,楼盘询量,200,OK,楼盘询量 1-41,text,true,,1152,610,262,262,381,0,52
1551175392461,383,楼盘询量,200,OK,楼盘询量 1-200,text,true,,1152,610,261,261,383,0,74
1551175392462,428,楼盘询量,200,OK,楼盘询量 1-264,text,true,,1152,610,260,260,428,0,77
1551175392457,436,楼盘询量,200,OK,楼盘询量 1-68,text,true,,1152,610,259,259,436,0,44
1551175392461,432,楼盘询量,200,OK,楼盘询量 1-190,text,true,,1152,610,259,259,432,0,73
1551175392457,438,楼盘询量,200,OK,楼盘询量 1-23,text,true,,1152,610,257,257,438,0,53
1551175392462,440,楼盘询量,200,OK,楼盘询量 1-220,text,true,,1152,610,256,256,440,0,76
1551175392457,446,楼盘询量,200,OK,楼盘询量 1-46,text,true,,1152,610,255,255,446,0,43
1551175392459,445,楼盘询量,200,OK,楼盘询量 1-123,text,true,,1152,610,254,254,445,0,49
1551175392456,448,楼盘询量,200,OK,楼盘询量 1-2,text,true,,1152,610,253,253,448,0,65
1551175392457,448,楼盘询量,200,OK,楼盘询量 1-52,text,true,,1152,610,252,252,448,0,49
1551175392457,449,楼盘询量,200,OK,楼盘询量 1-39,text,true,,1152,610,251,251,449,0,49
1551175392457,455,楼盘询量,200,OK,楼盘询量 1-61,text,true,,1152,610,250,250,455,0,43
1551175392459,458,楼盘询量,200,OK,楼盘询量 1-104,text,true,,1152,610,249,249,458,0,47
1551175392458,461,楼盘询量,200,OK,楼盘询量 1-89,text,true,,1152,610,248,248,461,0,48
1551175392459,464,楼盘询量,200,OK,楼盘询量 1-126,text,true,,1152,610,247,247,464,0,50
1551175392458,470,楼盘询量,200,OK,楼盘询量 1-88,text,true,,1152,610,246,246,470,0,41
1551175392459,483,楼盘询量,200,OK,楼盘询量 1-100,text,true,,1152,610,245,245,483,0,45
1551175392458,487,楼盘询量,200,OK,楼盘询量 1-87,text,true,,1152,610,244,244,487,0,41
1551175392457,488,楼盘询量,200,OK,楼盘询量 1-59,text,true,,1152,610,243,243,488,0,47
1551175392457,495,楼盘询量,200,OK,楼盘询量 1-56,text,true,,1152,610,242,242,495,0,44
1551175392456,496,楼盘询量,200,OK,楼盘询量 1-9,text,true,,1152,610,242,242,496,0,53
1551175392456,511,楼盘询量,200,OK,楼盘询量 1-10,text,true,,1152,610,240,240,511,0,53
1551175392463,505,楼盘询量,200,OK,楼盘询量 1-274,text,true,,1152,610,239,239,505,0,76
