timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1551169603263,199,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,199,0,42
1551169603464,154,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,154,0,0
1551169603619,152,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,152,0,0
1551169603772,152,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,152,0,0
1551169603925,147,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,146,0,0
1551169604072,145,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,145,0,0
1551169604218,145,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,145,0,0
1551169604364,150,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,150,0,0
1551169604515,146,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,146,0,0
1551169604662,145,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,145,0,0
1551169604808,166,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,166,0,0
1551169604976,146,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,146,0,0
1551169605123,149,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,149,0,0
1551169605273,197,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,197,0,41
1551169605471,146,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,146,0,0
1551169605618,150,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,150,0,0
1551169605769,148,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,148,0,0
1551169605919,144,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,144,0,0
1551169606064,199,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,199,0,0
1551169606264,162,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,162,0,0
1551169606427,149,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,149,0,0
1551169606577,149,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,148,0,0
1551169606726,148,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,148,0,0
1551169606875,145,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,145,0,0
1551169607020,154,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,154,0,0
1551169607175,153,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,153,0,0
1551169607329,188,楼盘询量,200,OK,楼盘询量 1-1,text,true,,839,570,1,1,188,0,39
