timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1551173466120,230,楼盘询量,200,OK,楼盘询量 1-828,text,true,,865,570,1000,1000,230,0,63
1551173466119,231,楼盘询量,200,OK,楼盘询量 1-819,text,true,,865,570,1000,1000,231,0,64
1551173466119,247,楼盘询量,200,OK,楼盘询量 1-820,text,true,,865,570,1000,1000,247,0,64
1551173466124,242,楼盘询量,200,OK,楼盘询量 1-864,text,true,,865,570,1000,1000,242,0,63
1551173466120,246,楼盘询量,200,OK,楼盘询量 1-823,text,true,,865,570,1000,1000,246,0,63
1551173466126,240,楼盘询量,200,OK,楼盘询量 1-883,text,true,,865,570,1000,1000,240,0,62
1551173466119,248,楼盘询量,200,OK,楼盘询量 1-815,text,true,,865,570,994,994,248,0,64
1551173466119,248,楼盘询量,200,OK,楼盘询量 1-818,text,true,,865,570,993,993,248,0,64
1551173466118,249,楼盘询量,200,OK,楼盘询量 1-777,text,true,,865,570,992,992,249,0,68
1551173466118,249,楼盘询量,200,OK,楼盘询量 1-783,text,true,,865,570,992,992,249,0,68
1551173466119,248,楼盘询量,200,OK,楼盘询量 1-810,text,true,,865,570,992,992,248,0,64
1551173466118,251,楼盘询量,200,OK,楼盘询量 1-782,text,true,,865,570,989,989,251,0,67
1551173466128,251,楼盘询量,200,OK,楼盘询量 1-908,text,true,,865,570,988,988,251,0,62
1551173466117,262,楼盘询量,200,OK,楼盘询量 1-752,text,true,,865,570,988,988,262,0,71
1551173466118,261,楼盘询量,200,OK,楼盘询量 1-795,text,true,,865,570,986,986,261,0,67
1551173466121,270,楼盘询量,200,OK,楼盘询量 1-839,text,true,,865,570,985,985,270,0,63
1551173466128,271,楼盘询量,200,OK,楼盘询量 1-910,text,true,,865,570,984,984,271,0,62
1551173466119,282,楼盘询量,200,OK,楼盘询量 1-821,text,true,,865,570,983,983,282,0,65
1551173466118,283,楼盘询量,200,OK,楼盘询量 1-784,text,true,,865,570,983,983,283,0,67
1551173466119,283,楼盘询量,200,OK,楼盘询量 1-817,text,true,,865,570,981,981,283,0,65
1551173466120,293,楼盘询量,200,OK,楼盘询量 1-830,text,true,,865,570,980,980,293,0,64
1551173466116,305,楼盘询量,200,OK,楼盘询量 1-721,text,true,,865,570,979,979,305,0,75
1551173466120,305,楼盘询量,200,OK,楼盘询量 1-826,text,true,,865,570,978,978,305,0,64
1551173466122,303,楼盘询量,200,OK,楼盘询量 1-845,text,true,,865,570,978,978,303,0,63
1551173466118,313,楼盘询量,200,OK,楼盘询量 1-796,text,true,,865,570,976,976,313,0,66
1551173466122,318,楼盘询量,200,OK,楼盘询量 1-844,text,true,,865,570,975,975,318,0,62
1551173466121,330,楼盘询量,200,OK,楼盘询量 1-837,text,true,,865,570,974,974,330,0,64
1551173466122,334,楼盘询量,200,OK,楼盘询量 1-843,text,true,,865,570,973,973,334,0,62
1551173466122,338,楼盘询量,200,OK,楼盘询量 1-846,text,true,,865,570,972,972,338,0,63
1551173466121,339,楼盘询量,200,OK,楼盘询量 1-835,text,true,,865,570,972,972,339,0,64
1551173466121,347,楼盘询量,200,OK,楼盘询量 1-831,text,true,,865,570,970,970,347,0,63
1551173466117,367,楼盘询量,200,OK,楼盘询量 1-760,text,true,,865,570,969,969,367,0,71
1551173466122,368,楼盘询量,200,OK,楼盘询量 1-841,text,true,,865,570,968,968,368,0,62
1551173466118,373,楼盘询量,200,OK,楼盘询量 1-773,text,true,,865,570,967,967,373,0,69
1551173466125,366,楼盘询量,200,OK,楼盘询量 1-874,text,true,,865,570,967,967,366,0,62
1551173466127,372,楼盘询量,200,OK,楼盘询量 1-897,text,true,,865,570,965,965,372,0,61
1551173466117,388,楼盘询量,200,OK,楼盘询量 1-748,text,true,,865,570,964,964,388,0,71
1551173466117,396,楼盘询量,200,OK,楼盘询量 1-758,text,true,,865,570,963,963,396,0,70
1551173466121,394,楼盘询量,200,OK,楼盘询量 1-838,text,true,,865,570,962,962,394,0,63
1551173466117,402,楼盘询量,200,OK,楼盘询量 1-731,text,true,,865,570,961,961,402,0,72
1551173466121,410,楼盘询量,200,OK,楼盘询量 1-833,text,true,,865,570,960,960,410,0,63
1551173466120,418,楼盘询量,200,OK,楼盘询量 1-825,text,true,,865,570,959,959,418,0,64
1551173466118,428,楼盘询量,200,OK,楼盘询量 1-801,text,true,,865,570,958,958,428,0,66
1551173466119,430,楼盘询量,200,OK,楼盘询量 1-811,text,true,,865,570,957,957,430,0,65
1551173466118,432,楼盘询量,200,OK,楼盘询量 1-800,text,true,,865,570,957,957,432,0,66
1551173466119,424,楼盘询量,200,OK,楼盘询量 1-808,text,true,,865,570,958,958,424,0,65
1551173466117,444,楼盘询量,200,OK,楼盘询量 1-756,text,true,,865,570,954,954,444,0,70
1551173466118,458,楼盘询量,200,OK,楼盘询量 1-793,text,true,,865,570,953,953,458,0,66
1551173466116,461,楼盘询量,200,OK,楼盘询量 1-712,text,true,,865,570,952,952,461,0,75
1551173466128,449,楼盘询量,200,OK,楼盘询量 1-920,text,true,,865,570,951,951,449,0,63
1551173466130,451,楼盘询量,200,OK,楼盘询量 1-935,text,true,,865,570,950,950,451,0,61
1551173466128,457,楼盘询量,200,OK,楼盘询量 1-913,text,true,,865,570,949,949,457,0,61
1551173466128,471,楼盘询量,200,OK,楼盘询量 1-915,text,true,,865,570,948,948,471,0,62
1551173466123,478,楼盘询量,200,OK,楼盘询量 1-857,text,true,,865,570,947,947,478,0,62
1551173466117,484,楼盘询量,200,OK,楼盘询量 1-733,text,true,,865,570,946,946,484,0,73
1551173466118,491,楼盘询量,200,OK,楼盘询量 1-780,text,true,,865,570,945,945,491,0,67
1551173466118,503,楼盘询量,200,OK,楼盘询量 1-790,text,true,,865,570,944,944,503,0,67
1551173466123,501,楼盘询量,200,OK,楼盘询量 1-854,text,true,,865,570,943,943,501,0,62
1551173466122,510,楼盘询量,200,OK,楼盘询量 1-849,text,true,,865,570,942,942,510,0,64
1551173466117,515,楼盘询量,200,OK,楼盘询量 1-755,text,true,,865,570,941,941,515,0,71
1551173466117,524,楼盘询量,200,OK,楼盘询量 1-754,text,true,,865,570,940,940,523,0,71
1551173466127,518,楼盘询量,200,OK,楼盘询量 1-899,text,true,,865,570,939,939,518,0,62
1551173466117,532,楼盘询量,200,OK,楼盘询量 1-742,text,true,,865,570,938,938,532,0,71
1551173466117,537,楼盘询量,200,OK,楼盘询量 1-745,text,true,,865,570,937,937,537,0,71
1551173466118,543,楼盘询量,200,OK,楼盘询量 1-771,text,true,,865,570,936,936,543,0,68
1551173466118,547,楼盘询量,200,OK,楼盘询量 1-770,text,true,,865,570,935,935,547,0,68
1551173466129,544,楼盘询量,200,OK,楼盘询量 1-928,text,true,,865,570,934,934,544,0,61
1551173466116,561,楼盘询量,200,OK,楼盘询量 1-705,text,true,,865,570,933,933,561,0,76
1551173466123,563,楼盘询量,200,OK,楼盘询量 1-855,text,true,,865,570,932,932,563,0,63
1551173466123,563,楼盘询量,200,OK,楼盘询量 1-853,text,true,,865,570,932,932,563,0,63
1551173466116,574,楼盘询量,200,OK,楼盘询量 1-726,text,true,,865,570,930,930,574,0,75
1551173466118,582,楼盘询量,200,OK,楼盘询量 1-779,text,true,,865,570,929,929,582,0,68
1551173466125,580,楼盘询量,200,OK,楼盘询量 1-875,text,true,,865,570,928,928,580,0,62
1551173466125,584,楼盘询量,200,OK,楼盘询量 1-880,text,true,,865,570,927,927,584,0,62
1551173466116,600,楼盘询量,200,OK,楼盘询量 1-707,text,true,,865,570,926,926,600,0,76
1551173466129,592,楼盘询量,200,OK,楼盘询量 1-927,text,true,,865,570,925,925,592,0,63
