timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1551320727287,712,按点位提交订单,200,OK,按点位提交订单 3-22,text,true,,497,618,35,35,712,0,44
1551320727287,830,按点位提交订单,200,OK,按点位提交订单 3-25,text,true,,751,542,34,34,830,0,43
1551320727287,831,按点位提交订单,200,OK,按点位提交订单 3-5,text,true,,790,590,34,34,831,0,48
1551320727287,862,按点位提交订单,200,OK,按点位提交订单 3-23,text,true,,723,543,32,32,862,0,43
1551320727287,892,按点位提交订单,200,OK,按点位提交订单 3-15,text,true,,722,542,31,31,892,0,48
1551320727287,901,按点位提交订单,200,OK,按点位提交订单 3-2,text,true,,25434,531,30,30,860,0,46
1551320727287,904,按点位提交订单,200,OK,按点位提交订单 3-1,text,true,,33456,531,29,29,828,0,43
1551320727288,904,按点位提交订单,200,OK,按点位提交订单 3-33,text,true,,33535,609,28,28,827,0,40
1551320727288,906,按点位提交订单,200,OK,按点位提交订单 3-34,text,true,,33792,866,27,27,828,0,40
1551320727287,908,按点位提交订单,200,OK,按点位提交订单 3-7,text,true,,1126,554,26,26,908,0,45
1551320727287,909,按点位提交订单,200,OK,按点位提交订单 3-21,text,true,,847,638,25,25,909,0,45
1551320727288,916,按点位提交订单,200,OK,按点位提交订单 3-32,text,true,,1041,842,24,24,916,0,41
1551320727288,920,按点位提交订单,200,OK,按点位提交订单 3-9,text,true,,1663,1463,23,23,920,0,42
1551320727288,920,按点位提交订单,200,OK,按点位提交订单 3-35,text,true,,25461,557,23,23,880,0,43
1551320727288,930,按点位提交订单,200,OK,按点位提交订单 3-29,text,true,,33515,590,21,21,853,0,40
1551320727287,938,按点位提交订单,200,OK,按点位提交订单 3-20,text,true,,25434,530,20,20,897,0,44
1551320727287,938,按点位提交订单,200,OK,按点位提交订单 3-27,text,true,,761,562,19,19,938,0,48
1551320727287,940,按点位提交订单,200,OK,按点位提交订单 3-14,text,true,,33468,542,18,18,859,0,48
1551320727287,948,按点位提交订单,200,OK,按点位提交订单 3-16,text,true,,1507,934,17,17,948,0,49
1551320727287,951,按点位提交订单,200,OK,按点位提交订单 3-26,text,true,,33599,674,16,16,870,0,44
1551320727287,962,按点位提交订单,200,OK,按点位提交订单 3-18,text,true,,33468,542,15,15,885,0,44
1551320727288,966,按点位提交订单,200,OK,按点位提交订单 3-10,text,true,,33468,542,14,14,885,0,43
1551320727287,966,按点位提交订单,200,OK,按点位提交订单 3-19,text,true,,779,571,14,14,966,0,48
1551320727288,1007,按点位提交订单,200,OK,按点位提交订单 3-30,text,true,,33456,530,12,12,926,0,42
1551320727288,1051,按点位提交订单,200,OK,按点位提交订单 3-31,text,true,,33840,914,11,11,971,0,43
1551320727287,1119,按点位提交订单,200,OK,按点位提交订单 3-13,text,true,,5652,5082,10,10,1119,0,43
1551320727288,1129,按点位提交订单,200,OK,按点位提交订单 3-28,text,true,,10001,9855,9,9,1129,0,42
1551320727287,1466,按点位提交订单,200,OK,按点位提交订单 3-12,text,true,,12035,11464,8,8,1466,0,43
1551320727287,1590,按点位提交订单,200,OK,按点位提交订单 3-24,text,true,,497,33288,7,7,1590,0,45
1551320727287,1626,按点位提交订单,200,OK,按点位提交订单 3-6,text,true,,99635,939,6,6,1383,0,45
1551320727287,1696,按点位提交订单,200,OK,按点位提交订单 3-11,text,true,,497,33288,5,5,1696,0,43
1551320727288,1778,按点位提交订单,200,OK,按点位提交订单 3-8,text,true,,497,33288,4,4,1778,0,41
1551320727287,2229,按点位提交订单,200,OK,按点位提交订单 3-17,text,true,,132603,1067,3,3,1906,0,47
1551320727287,2745,按点位提交订单,200,OK,按点位提交订单 3-3,text,true,,75031,25266,2,2,2553,0,43
1551320727287,4254,按点位提交订单,200,OK,按点位提交订单 3-4,text,true,,1195,1219,1,1,4254,0,44
